Phase,Personne,Groupe,ID,Tache,Points,Reference_cours_ou_commentaire
Phase 1,P1,Conception,DESIGN-0.2,Diagramme de classes UML detaille (multiplicites roles classes-associations heritages),3,Ch3-4 et Ch5-6 - diagrammes de classes UML
Phase 1,P2,Conception,DESIGN-0.1,Diagramme de cas d'utilisation (acteurs + cas s'inscrire se connecter creer-paquet etudier partager),2,Ch3-4 - cas d'utilisation (inclusion/extension)
Phase 1,P2,Conception,DESIGN-0.5,Justification du choix architectural MVC (extrait rapport),2,Ch8 - patterns architecturaux MVC/MVP/MVVM - choix MVC fige
Phase 1,P2,Conception,DESIGN-0.6,Identification des 3 patrons retenus avec leurs points d'application (Singleton + Repository + Factory) - Strategy 4eme optionnel,2,Ch8 - design patterns - sujet TER exige 3 minimum parmi Singleton Factory Repository Observer Strategy
Phase 1,P3,Conception,DESIGN-0.3,Diagramme de sequence des cas auth (inscription connexion session expiree),2,Ch3-4 - diagrammes de sequence (User-System / Object-Object)
Phase 1,P4,Conception,DESIGN-0.4,Diagramme d'etats-transitions de la session d'etude (Q_affichee R_revelee Session_finie),2,Ch5-6 - etats-transitions (entry/exit gardes super-etats)
Phase 1,P1,BD,BD-1.1,Modeliser le MCD final (Utilisateurs Paquets Questions Difficultes Partages),2,Derive du diagramme de classes (Ch3-4) - mapping objet/relationnel hors cours
Phase 1,P1,BD,BD-1.2,Ecrire install.php avec les CREATE TABLE des 5 entites,3,Hors cours - auto-formation SQL DDL et PHP
Phase 1,P1,BD,BD-1.3,Ajouter contraintes (UNIQUE email FK NOT NULL CASCADE),1,Hors cours - auto-formation SQL
Phase 1,P1,BD,BD-1.4,Script seed utilisateurs (3-5 comptes hashes BCRYPT - donnees anonymisees pour rendu),1,Hors cours - auto-formation SQL + password_hash PHP
Phase 1,P1,BD,BD-1.5,Script seed paquets + questions + partages coherents,2,Hors cours - auto-formation SQL
Phase 1,P1,BD,BD-1.6,Rediger section BD de installation.txt (execution install.php + suppression apres usage + reset),1,Documentation - autonome (exigence sujet TER : install.php supprimable)
Phase 1,P2,Backend,BACK-1.1,Arborescence src/ (controllers models views repositories core sql data public),1,Ch8 - applique MVC + separation des responsabilites
Phase 1,P2,Backend,BACK-1.2,Front-controller index.php avec dispatch route via $_SERVER['REQUEST_URI'] (alternative .htaccess si XAMPP),2,Hors cours - auto-formation PHP routing minimaliste
Phase 1,P2,Backend,BACK-1.3,Classe Router (mapping route vers controleur) avec stubs,2,Hors cours - routage PHP non aborde
Phase 1,P2,Backend,BACK-1.4,Classes abstraites BaseController et BaseModel,2,Ch5-6 + Ch8 - abstraction OO et Open/Closed
Phase 1,P2,Backend,BACK-1.5,Squelette Singleton Database (retours mockes JSON),2,Ch8 - pattern Singleton (instance unique)
Phase 1,P2,Backend,BACK-1.6,Helper Response::json() (codes HTTP format unifie),1,Hors cours - auto-formation JSON et REST
Phase 1,P3,Backend,AUTH-1.1,Endpoint mock POST /api/auth/register (renvoie user fictif),2,Hors cours - auto-formation API REST + PHP
Phase 1,P3,Backend,AUTH-1.2,Endpoint mock POST /api/auth/login (renvoie token/session fictifs),2,Hors cours - auto-formation API REST + sessions PHP
Phase 1,P3,Backend,AUTH-1.3,Endpoint mock POST /api/auth/logout,1,Hors cours - auto-formation
Phase 1,P3,Backend,AUTH-1.4,Endpoint mock GET /api/auth/me,1,Hors cours - auto-formation
Phase 1,P3,Backend,AUTH-1.5,Contrat d'API documente (README endpoints + payloads attendus),1,Documentation - autonome
Phase 1,P4,Frontend,UI-1.1,Squelette HTML5 SPA (index.html + container #app),1,Hors cours - auto-formation HTML5
Phase 1,P4,Frontend,UI-1.2,Reset CSS + palette officielle (project-files/interface/color_palette.png) + typo Inter,2,Hors cours - auto-formation CSS + reference mockups equipe
Phase 1,P4,Frontend,UI-1.3,Header global (logo navigation bouton menu) conforme mockups dashboard.png,2,Hors cours - auto-formation HTML/CSS
Phase 1,P4,Frontend,UI-1.4,Sidebar gauche (Navigation + Compte + toggle theme) conforme dashboard.png,2,Hors cours - auto-formation CSS/jQuery
Phase 1,P4,Frontend,UI-1.5,Toggle Dark / Light mode avec persistance (cookie PHP si localStorage hors cours),2,Hors cours - auto-formation - verifier localStorage dans JavaScript.pdf
Phase 1,P4,Frontend,UI-1.6,Bibliotheque de composants (boutons inputs cartes) conforme border_curveness_buttons.png,3,Hors cours - auto-formation CSS + reference mockups
Phase 1,P5,Frontend,DASH-1.1,Layout deux colonnes Mes Flashcards / Partagees avec moi (cote a cote pas onglets),2,Hors cours - auto-formation CSS flexbox - exception au mockup dashboard.png decidee par le binome
Phase 1,P5,Frontend,DASH-1.2,Composant carte-paquet (titre theme dernier score best date) conforme dashboard.png,2,Hors cours - auto-formation HTML/CSS
Phase 1,P5,Frontend,DASH-1.3,Tri visuel par date decroissante (donnees stub),1,Hors cours - auto-formation JS
